date,World
1/3/2020,0
1/4/2020,3
1/5/2020,0
1/6/2020,3
1/7/2020,0
1/8/2020,0
1/9/2020,1
1/10/2020,0
1/11/2020,1
1/12/2020,42
1/13/2020,1
1/14/2020,6
1/15/2020,0
1/16/2020,0
1/17/2020,4
1/18/2020,4
1/19/2020,77
1/20/2020,79
1/21/2020,93
1/22/2020,148
1/23/2020,134
1/24/2020,275
1/25/2020,473
1/26/2020,700
1/27/2020,790
1/28/2020,1779
1/29/2020,1490
1/30/2020,1756
1/31/2020,2013
2/1/2020,2116
2/2/2020,2608
2/3/2020,2836
2/4/2020,3255
2/5/2020,3938
2/6/2020,3718
2/7/2020,3160
2/8/2020,3405
2/9/2020,2665
2/10/2020,2994
2/11/2020,2484
2/12/2020,2035
2/13/2020,15160
2/14/2020,4076
2/15/2020,2662
2/16/2020,2037
2/17/2020,2062
2/18/2020,1910
2/19/2020,1806
2/20/2020,427
2/21/2020,1021
2/22/2020,1064
2/23/2020,975
2/24/2020,529
2/25/2020,841
2/26/2020,861
2/27/2020,1082
2/28/2020,1378
2/29/2020,1766
3/1/2020,1799
3/2/2020,1671
3/3/2020,2315
3/4/2020,2981
3/5/2020,2505
3/6/2020,3648
3/7/2020,3681
3/8/2020,3728
3/9/2020,3915
3/10/2020,5102
3/11/2020,5819
3/12/2020,8184
3/13/2020,10149
3/14/2020,12053
3/15/2020,13281
3/16/2020,12862
3/17/2020,16610
3/18/2020,19583
3/19/2020,24075
3/20/2020,28847
3/21/2020,32805
3/22/2020,36018
3/23/2020,33713
3/24/2020,41029
3/25/2020,47563
3/26/2020,51370
3/27/2020,60524
3/28/2020,66957
3/29/2020,66716
3/30/2020,58269
3/31/2020,64243
4/1/2020,67861
4/2/2020,73543
4/3/2020,77010
4/4/2020,80905
4/5/2020,78000
4/6/2020,71061
4/7/2020,67549
4/8/2020,76382
4/9/2020,80156
4/10/2020,87229
4/11/2020,87846
4/12/2020,82866
4/13/2020,73153
4/14/2020,66489
4/15/2020,70652
4/16/2020,74830
4/17/2020,79255
4/18/2020,83460
4/19/2020,82216
4/20/2020,72581
4/21/2020,71605
4/22/2020,75114
4/23/2020,75613
4/24/2020,81191
4/25/2020,97060
4/26/2020,83518
4/27/2020,79863
4/28/2020,69387
4/29/2020,70827
4/30/2020,77157
5/1/2020,82154
5/2/2020,88864
5/3/2020,88065
5/4/2020,79248
5/5/2020,79255
5/6/2020,78021
5/7/2020,85246
5/8/2020,89608
5/9/2020,101772
5/10/2020,92374
5/11/2020,86811
5/12/2020,72520
5/13/2020,81286
5/14/2020,86130
5/15/2020,86744
5/16/2020,102724
5/17/2020,99031
5/18/2020,96817
5/19/2020,79865
5/20/2020,93354
5/21/2020,104929
5/22/2020,106707
5/23/2020,108127
5/24/2020,107170
5/25/2020,97008
5/26/2020,92867
5/27/2020,89528
5/28/2020,100406
5/29/2020,108883
5/30/2020,120073
5/31/2020,121814
6/1/2020,127347
6/2/2020,109570
6/3/2020,99102
6/4/2020,124977
6/5/2020,126646
6/6/2020,127330
6/7/2020,132717
6/8/2020,125574
6/9/2020,109281
6/10/2020,110497
6/11/2020,132104
6/12/2020,141001
6/13/2020,142604
6/14/2020,144704
6/15/2020,131651
6/16/2020,117682
6/17/2020,126124
6/18/2020,182002
6/19/2020,147747
6/20/2020,145875
6/21/2020,181419
6/22/2020,154584
6/23/2020,130196
6/24/2020,141202
6/25/2020,174000
6/26/2020,178978
6/27/2020,186913
6/28/2020,194997
6/29/2020,178585
6/30/2020,157647
7/1/2020,172078
7/2/2020,185652
7/3/2020,211954
7/4/2020,214121
7/5/2020,215059
7/6/2020,191498
7/7/2020,167603
7/8/2020,177662
7/9/2020,216081
7/10/2020,227136
7/11/2020,223639
7/12/2020,234824
